name,postcode,lat,lng,parent_city,parent_state,parent_country
Bondi Beach,2026,-33.8908,151.2743,Sydney,NSW,Australia
North Bondi,2026,-33.8850,151.2790,Sydney,NSW,Australia
Bondi Junction,2022,-33.8912,151.2477,Sydney,NSW,Australia
Bondi,2026,-33.8915,151.2743,Sydney,NSW,Australia
Tamarama,2026,-33.8990,151.2700,Sydney,NSW,Australia
Bronte,2024,-33.9036,151.2630,Sydney,NSW,Australia
Clovelly,2031,-33.9120,151.2610,Sydney,NSW,Australia
Coogee,2034,-33.9200,151.2550,Sydney,NSW,Australia
Randwick,2031,-33.9140,151.2410,Sydney,NSW,Australia
Maroubra,2035,-33.9500,151.2380,Sydney,NSW,Australia
Rose Bay,2029,-33.8710,151.2670,Sydney,NSW,Australia
Double Bay,2028,-33.8770,151.2430,Sydney,NSW,Australia
Vaucluse,2030,-33.8560,151.2780,Sydney,NSW,Australia
Dover Heights,2030,-33.8700,151.2810,Sydney,NSW,Australia
Waverley,2024,-33.8980,151.2540,Sydney,NSW,Australia
Woollahra,2025,-33.8870,151.2410,Sydney,NSW,Australia
Paddington,2021,-33.8840,151.2260,Sydney,NSW,Australia
Surry Hills,2010,-33.8877,151.2094,Sydney,NSW,Australia
Redfern,2016,-33.8930,151.2004,Sydney,NSW,Australia
Alexandria,2015,-33.9025,151.1987,Sydney,NSW,Australia
Byron Bay,2481,-28.6474,153.6120,Byron Bay,NSW,Australia
